TimeStamp (ms), Total Power (W), CPU (W), Monitor (W), Disk (W), Base (W), Application (W)
63817867247872,25.4,0.4,10.0,0.0,15.0,0.0
63817867249088,25.6,0.6,10.0,0.0,15.0,0.0
63817867250303,25.5,0.5,10.0,0.0,15.0,0.0
63817867251503,25.6,0.6,10.0,0.0,15.0,0.0
63817867252726,25.8,0.3,10.0,0.5,15.0,0.0
63817867253908,26.6,1.4,10.0,0.2,15.0,0.0
63817867255105,26.4,1.4,10.0,0.0,15.0,0.0
63817867256301,26.7,1.7,10.0,0.0,15.0,0.0
63817867257488,26.6,1.6,10.0,0.0,15.0,0.0
63817867258666,26.6,1.6,10.0,0.0,15.0,0.0
63817867259842,26.3,1.3,10.0,0.0,15.0,0.0
63817867261029,25.8,0.8,10.0,0.0,15.0,0.0
63817867262232,25.3,0.3,10.0,0.0,15.0,0.0
63817867263436,25.3,0.3,10.0,0.0,15.0,0.0
63817867264628,25.4,0.4,10.0,0.0,15.0,0.0
63817867265814,25.3,0.3,10.0,0.0,15.0,0.0
63817867267037,25.5,0.4,10.0,0.0,15.0,0.1
