System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
19:47:30:714, 33040875324735,    0.109,    7.000,  800,   2.270,   0.247,   0.069,   0.926,   0.101,   0.028, 52,  0,   0.347,   0.038,   0.010,   0.016,   0.002,   0.000,  51.000,  51.000,  71.000,   0.000,   0.000,   24,   0.232
19:47:30:824, 33041072687274,    0.219,    7.000,  800,   2.324,   0.502,   0.139,   0.935,   0.203,   0.056, 52,  0,   0.352,   0.076,   0.021,   0.095,   0.012,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,   28,   0.164
19:47:30:933, 33041268990115,    0.328,    6.000,  800,   2.107,   0.732,   0.203,   0.709,   0.281,   0.078, 52,  0,   0.326,   0.112,   0.031,   0.093,   0.022,   0.006,  51.000,  51.000,  71.000,   0.000,   0.000,   27,   0.067
19:47:31:043, 33041466366481,    0.437,    3.000,  800,   2.568,   1.014,   0.282,   1.084,   0.400,   0.111, 52,  0,   0.200,   0.134,   0.037,   0.253,   0.050,   0.014,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.000
19:47:31:154, 33041666760523,    0.549,    4.000,  800,   2.577,   1.300,   0.361,   1.163,   0.529,   0.147, 52,  0,   0.168,   0.153,   0.042,   0.212,   0.074,   0.020,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.000
19:47:31:266, 33041868137506,    0.661,    4.000,  800,   4.115,   1.761,   0.489,   2.693,   0.830,   0.231, 52,  0,   0.182,   0.173,   0.048,   0.209,   0.097,   0.027,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.000
19:47:31:377, 33042067821484,    0.771,    3.000,  800,   2.981,   2.092,   0.581,   1.563,   1.004,   0.279, 52,  0,   0.168,   0.192,   0.053,   0.213,   0.121,   0.034,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.000
19:47:31:487, 33042265834147,    0.882,    5.000,  800,   2.502,   2.367,   0.657,   1.090,   1.124,   0.312, 51,  0,   0.156,   0.209,   0.058,   0.209,   0.144,   0.040,  51.000,  51.000,  71.000,   0.000,   0.000,   19,   0.000
19:47:31:598, 33042466156532,    0.993,    7.000, 3700,   6.196,   3.056,   0.849,   4.616,   1.637,   0.455, 52,  0,   0.336,   0.246,   0.068,   0.268,   0.173,   0.048,  51.000,  51.000,  71.000,   0.000,   0.000,   15,   1.679
19:47:31:693, 33042636378800,    1.087,    8.000,  800,   2.975,   3.338,   0.927,   1.546,   1.784,   0.495, 52,  0,   0.227,   0.268,   0.074,   0.199,   0.192,   0.053,  51.000,  51.000,  71.000,   0.000,   0.000,   19,   0.077
19:47:31:803, 33042833992637,    1.197,    5.000, 3700,   3.114,   3.680,   1.022,   1.641,   1.964,   0.545, 57,  0,   0.208,   0.290,   0.081,   0.247,   0.219,   0.061,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.157
19:47:31:912, 33043032071804,    1.307,    7.000, 1600,   7.823,   4.540,   1.261,   6.421,   2.670,   0.742, 53,  0,   0.219,   0.315,   0.087,   0.198,   0.241,   0.067,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
19:47:32:024, 33043232084067,    1.418,    4.000,  900,   1.818,   4.742,   1.317,   0.419,   2.717,   0.755, 52,  0,   0.154,   0.332,   0.092,   0.197,   0.263,   0.073,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.000
19:47:32:134, 33043430482573,    1.529,    6.000,  800,   3.397,   5.117,   1.421,   1.984,   2.935,   0.815, 51,  0,   0.180,   0.352,   0.098,   0.211,   0.286,   0.080,  51.000,  51.000,  71.000,   0.000,   0.000,   22,   0.000
19:47:32:243, 33043627212004,    1.638,    5.000, 3500,   4.384,   5.596,   1.554,   2.923,   3.255,   0.904, 53,  0,   0.199,   0.373,   0.104,   0.252,   0.314,   0.087,  51.000,  51.000,  71.000,   0.000,   0.000,   91,   0.000
19:47:32:350, 33043820557918,    1.745,    2.000,  800,   2.129,   5.825,   1.618,   0.720,   3.332,   0.926, 52,  0,   0.161,   0.391,   0.109,   0.199,   0.335,   0.093,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.000
19:47:32:461, 33044018566076,    1.855,    2.000, 3700,   2.773,   6.130,   1.703,   1.364,   3.482,   0.967, 53,  0,   0.163,   0.409,   0.113,   0.214,   0.359,   0.100,  51.000,  51.000,  71.000,   0.000,   0.000,  160,   0.000
19:47:32:571, 33044216640229,    1.965,   11.000, 3700,   5.030,   6.683,   1.856,   3.516,   3.869,   1.075, 53,  0,   0.266,   0.438,   0.122,   0.213,   0.382,   0.106,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.475
