System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:31:20:322, 37774178970437,    0.102,    8.000, 3700,   7.849,   0.804,   0.223,   5.721,   0.586,   0.163, 62,  0,   0.755,   0.077,   0.021,   0.358,   0.037,   0.010,  51.000,  51.000,  71.000,   0.000,   0.000,   89,  18.435
20:31:20:431, 37774376014208,    0.212,    9.000, 1900,   6.295,   1.493,   0.415,   4.400,   1.068,   0.297, 61,  0,   0.740,   0.158,   0.044,   0.346,   0.074,   0.021,  51.000,  51.000,  71.000,   0.000,   0.000,   85,  17.697
20:31:20:540, 37774572472579,    0.321,   12.000, 1900,   3.816,   1.910,   0.530,   1.848,   1.269,   0.353, 60,  0,   0.754,   0.241,   0.067,   0.361,   0.114,   0.032,  51.000,  51.000,  71.000,   0.000,   0.000,   91,  17.261
20:31:20:650, 37774769206592,    0.430,   14.000, 3700,   8.507,   2.839,   0.789,   6.467,   1.976,   0.549, 61,  0,   0.794,   0.327,   0.091,   0.394,   0.157,   0.044,  51.000,  51.000,  71.000,   0.000,   0.000,   97,  20.681
20:31:20:758, 37774964220523,    0.539,   10.000, 1900,   5.842,   3.472,   0.965,   3.962,   2.405,   0.668, 60,  0,   0.721,   0.406,   0.113,   0.333,   0.193,   0.054,  51.000,  51.000,  71.000,   0.000,   0.000,   84,  17.381
20:31:20:869, 37775164157301,    0.650,   12.000, 3500,   4.415,   3.963,   1.101,   2.758,   2.712,   0.753, 60,  0,   0.621,   0.475,   0.132,   0.185,   0.214,   0.059,  51.000,  51.000,  71.000,   0.000,   0.000,   46,   9.211
20:31:20:977, 37775358127813,    0.758,    8.000, 2500,   8.515,   4.880,   1.356,   6.596,   3.422,   0.951, 60,  0,   0.582,   0.537,   0.149,   0.128,   0.227,   0.063,  51.000,  51.000,  71.000,   0.000,   0.000,   34,   6.444
20:31:21:088, 37775557718368,    0.868,   13.000, 3700,   3.576,   5.277,   1.466,   2.235,   3.670,   1.019, 60,  0,   0.375,   0.579,   0.161,   0.035,   0.231,   0.064,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   1.495
20:31:21:208, 37775775615660,    0.989,   30.000, 3700,  17.347,   7.377,   2.049,  15.363,   5.530,   1.536, 77,  0,   0.522,   0.642,   0.178,   0.020,   0.234,   0.065,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.800
20:31:21:308, 37775953938521,    1.089,   10.000, 3400,  10.458,   8.413,   2.337,   8.566,   6.379,   1.772, 63,  0,   0.436,   0.685,   0.190,   0.018,   0.235,   0.065,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.492
