System Time,RDTSC,Elapsed Time (sec), CPU Utilization,CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:32:43:072,3.05E+14,0.122,26,3700,21.209,2.578,0.716,18.913,2.299,0.639,73,0,0.842,0.102,0.028,0.023,0.003,0.001,51,51,71,0,0,4,0.429
20:32:43:180,3.05E+14,0.23,19,3700,16.326,4.344,1.207,14.232,3.838,1.066,69,0,0.61,0.168,0.047,0.014,0.004,0.001,51,51,71,0,0,3,0.163
20:32:43:288,3.05E+14,0.338,23,3700,19.356,6.445,1.79,17.319,5.719,1.589,74,0,0.681,0.242,0.067,0.006,0.005,0.001,51,51,71,0,0,2,0.074
20:32:43:399,3.05E+14,0.449,7,3700,7.158,7.238,2.011,5.352,6.311,1.753,67,0,0.315,0.277,0.077,0.004,0.005,0.001,51,51,71,0,0,1,0
20:32:43:508,3.05E+14,0.558,9,3700,10.228,8.348,2.319,8.39,7.222,2.006,63,0,0.326,0.313,0.087,0.009,0.006,0.002,51,51,71,0,0,110,0
20:32:43:616,3.05E+14,0.666,10,3700,11.124,9.553,2.654,9.204,8.219,2.283,68,0,0.421,0.358,0.099,0.012,0.008,0.002,51,51,71,0,0,2,0.082
20:32:43:726,3.05E+14,0.776,21,3700,9.545,10.609,2.947,7.659,9.066,2.518,63,0,0.513,0.415,0.115,0.012,0.009,0.002,51,51,71,0,0,3,0.158
20:32:43:835,3.05E+14,0.885,10,3700,12.799,11.993,3.331,10.615,10.214,2.837,61,0,0.543,0.474,0.132,0.038,0.013,0.004,51,51,71,0,0,9,1.132
20:32:43:945,3.05E+14,0.995,5,800,2.226,12.239,3.4,0.765,10.299,2.861,58,0,0.313,0.508,0.141,0.003,0.013,0.004,51,51,71,0,0,21,0
20:32:44:053,3.05E+14,1.103,7,800,2.07,12.463,3.462,0.73,10.377,2.883,57,0,0.266,0.537,0.149,0.093,0.024,0.007,51,51,71,0,0,28,0
20:32:44:162,3.05E+14,1.212,8,3500,6.147,13.129,3.647,4.414,10.856,3.016,58,0,0.203,0.559,0.155,0.254,0.051,0.014,51,51,71,0,0,91,0
20:32:44:271,3.05E+14,1.321,14,3700,12.002,14.441,4.011,9.993,11.948,3.319,62,0,0.602,0.625,0.174,0.252,0.079,0.022,51,51,71,0,0,10,1.852
20:32:44:380,3.05E+14,1.43,8,2200,7.801,15.289,4.247,5.769,12.576,3.493,59,0,0.626,0.693,0.192,0.38,0.12,0.033,51,51,71,0,0,54,10.308
20:32:44:489,3.05E+14,1.539,6,1100,3.329,15.652,4.348,1.902,12.783,3.551,58,0,0.214,0.716,0.199,0.197,0.141,0.039,51,51,71,0,0,1,0
20:32:44:598,3.05E+14,1.648,15,1900,3.2,16.001,4.445,1.509,12.947,3.596,58,0,0.439,0.764,0.212,0.347,0.179,0.05,51,51,71,0,0,46,8.986
20:32:44:707,3.05E+14,1.757,13,3700,8.348,16.911,4.698,6.269,13.631,3.786,60,0,0.732,0.844,0.234,0.492,0.233,0.065,51,51,71,0,0,90,17.619
20:32:44:817,3.05E+14,1.867,22,3700,11.64,18.194,5.054,9.605,14.69,4.08,63,0,0.689,0.92,0.256,0.429,0.28,0.078,51,51,71,0,0,72,14.079
20:32:44:927,3.05E+14,1.977,11,800,6.037,18.859,5.239,3.853,15.114,4.198,58,0,0.576,0.983,0.273,0.452,0.33,0.092,51,51,71,0,0,85,14.384
20:32:45:037,3.05E+14,2.087,11,2600,5.935,19.51,5.419,3.912,15.543,4.317,59,0,0.633,1.053,0.292,0.451,0.38,0.105,51,51,71,0,0,76,15.2
20:32:45:145,3.05E+14,2.194,11,3700,9.852,20.569,5.714,7.59,16.359,4.544,60,0,0.713,1.129,0.314,0.451,0.428,0.119,51,51,71,0,0,74,14.487
20:32:45:256,3.05E+14,2.306,11,3100,7.627,21.422,5.951,5.655,16.991,4.72,60,0,0.632,1.2,0.333,0.445,0.478,0.133,51,51,71,0,0,75,14.353
20:32:45:366,3.05E+14,2.415,29,3700,17.711,23.358,6.488,15.092,18.641,5.178,65,0,0.887,1.297,0.36,0.421,0.524,0.146,51,51,71,0,0,67,12.76
20:32:45:475,3.05E+14,2.524,8,900,3.536,23.744,6.595,2.026,18.862,5.24,59,0,0.255,1.325,0.368,0.22,0.548,0.152,51,51,71,0,0,22,0.799
20:32:45:583,3.05E+14,2.632,16,900,4.257,24.203,6.723,2.812,19.166,5.324,58,0,0.205,1.347,0.374,0.242,0.574,0.159,51,51,71,0,0,9,0
20:32:45:694,3.05E+14,2.744,15,3700,3.419,24.583,6.829,1.762,19.362,5.378,58,0,0.216,1.371,0.381,0.212,0.598,0.166,51,51,71,0,0,91,0
20:32:45:837,3.05E+14,2.887,17,3400,4.998,25.299,7.027,3.32,19.837,5.51,61,0,0.291,1.413,0.392,0.218,0.629,0.175,51,51,71,0,0,5,0.846
20:32:45:912,3.05E+14,2.962,1,1400,3.368,25.552,7.098,1.961,19.984,5.551,57,0,0.202,1.428,0.397,0.201,0.644,0.179,51,51,71,0,0,4,0.319
20:32:46:022,3.05E+14,3.072,26,3700,10.67,26.723,7.423,9.005,20.973,5.826,69,0,0.601,1.494,0.415,0.299,0.677,0.188,51,51,71,0,0,39,7.144
20:32:46:133,3.05E+14,3.183,7,1700,8.112,27.626,7.674,6.335,21.678,6.022,59,0,0.454,1.544,0.429,0.342,0.715,0.198,51,51,71,0,0,44,8.763
20:32:46:243,3.05E+14,3.293,9,3700,6.677,28.358,7.877,4.945,22.22,6.172,59,0,0.326,1.58,0.439,0.222,0.739,0.205,51,51,71,0,0,10,1.749
20:32:46:354,3.05E+14,3.404,7,900,2.476,28.634,7.954,1.055,22.337,6.205,57,0,0.209,1.603,0.445,0.195,0.761,0.211,51,51,71,0,0,17,0
20:32:46:452,3.05E+14,3.501,5,900,2.471,28.874,8.021,0.845,22.419,6.228,57,0,0.158,1.619,0.45,0.247,0.785,0.218,51,51,71,0,0,27,0
20:32:46:572,3.05E+14,3.622,4,900,2.454,29.171,8.103,0.965,22.536,6.26,57,0,0.178,1.64,0.456,0.244,0.814,0.226,51,51,71,0,0,7,0
20:32:46:669,3.05E+14,3.719,2,900,2.646,29.427,8.174,1.241,22.656,6.293,57,0,0.156,1.655,0.46,0.211,0.835,0.232,51,51,71,0,0,8,0
20:32:46:801,3.05E+14,3.851,14,3700,4.574,30.03,8.342,3.144,23.07,6.408,67,0,0.2,1.682,0.467,0.223,0.864,0.24,51,51,71,0,0,7,1.269
20:32:46:887,3.05E+14,3.937,2,1200,3.601,30.34,8.428,2.129,23.254,6.459,57,0,0.222,1.701,0.472,0.205,0.882,0.245,51,51,71,0,0,5,0.58
20:32:46:996,3.05E+14,4.046,6,900,2.179,30.577,8.494,0.544,23.313,6.476,57,0,0.161,1.718,0.477,0.196,0.903,0.251,51,51,71,0,0,21,0
