System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:39:41:604, 38676490083937,    0.133,   20.000, 3800,  11.145,   1.486,   0.413,   9.107,   1.214,   0.337, 69,  0,   0.801,   0.107,   0.030,   0.462,   0.062,   0.017,  51.000,  51.000,  71.000,   0.000,   0.000,  116,  23.424
20:39:41:702, 38676666011195,    0.231,   10.000, 3200,   9.314,   2.396,   0.666,   7.187,   1.916,   0.532, 62,  0,   0.779,   0.183,   0.051,   0.465,   0.107,   0.030,  51.000,  51.000,  71.000,   0.000,   0.000,  113,  24.197
20:39:41:812, 38676863317349,    0.341,   13.000, 2300,   5.603,   3.010,   0.836,   3.588,   2.310,   0.642, 61,  0,   0.749,   0.265,   0.074,   0.399,   0.151,   0.042,  51.000,  51.000,  71.000,   0.000,   0.000,   99,  20.727
20:39:41:921, 38677059827563,    0.450,   12.000, 2300,   5.132,   3.570,   0.992,   3.058,   2.643,   0.734, 61,  0,   0.843,   0.357,   0.099,   0.461,   0.201,   0.056,  51.000,  51.000,  71.000,   0.000,   0.000,  114,  23.556
20:39:42:032, 38677258692003,    0.560,   26.000, 3700,  10.097,   4.686,   1.302,   8.061,   3.534,   0.982, 72,  0,   0.857,   0.452,   0.125,   0.408,   0.246,   0.068,  51.000,  51.000,  71.000,   0.000,   0.000,  105,  21.947
20:39:42:140, 38677453869197,    0.669,   13.000, 3100,  13.074,   6.103,   1.695,  11.147,   4.743,   1.317, 62,  0,   0.630,   0.520,   0.144,   0.164,   0.264,   0.073,  51.000,  51.000,  71.000,   0.000,   0.000,   41,   7.855
20:39:42:248, 38677648989729,    0.777,   10.000, 2100,   3.473,   6.480,   1.800,   2.208,   4.982,   1.384, 61,  0,   0.350,   0.558,   0.155,   0.015,   0.266,   0.074,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.585
20:39:42:357, 38677843599463,    0.885,    8.000, 1500,   2.963,   6.800,   1.889,   1.615,   5.157,   1.432, 60,  0,   0.407,   0.602,   0.167,   0.006,   0.266,   0.074,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:39:42:467, 38678041586773,    0.995,   16.000, 1500,   3.082,   7.139,   1.983,   1.615,   5.334,   1.482, 60,  0,   0.535,   0.661,   0.184,   0.006,   0.267,   0.074,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:39:42:627, 38678331283052,    1.156,   15.000, 3600,   3.055,   7.631,   2.120,   1.638,   5.598,   1.555, 65,  0,   0.355,   0.718,   0.199,   0.019,   0.270,   0.075,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.667
20:39:42:684, 38678434072234,    1.213,    4.000, 3700,   6.175,   7.984,   2.218,   4.836,   5.874,   1.632, 59,  0,   0.276,   0.734,   0.204,   0.030,   0.272,   0.075,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.819
20:39:42:794, 38678631264097,    1.323,    7.000,  800,   1.802,   8.181,   2.273,   0.556,   5.935,   1.649, 59,  0,   0.306,   0.767,   0.213,   0.005,   0.272,   0.076,  51.000,  51.000,  71.000,   0.000,   0.000,   20,   0.000
20:39:42:902, 38678825706269,    1.431,   12.000,  800,   2.931,   8.498,   2.360,   1.607,   6.109,   1.697, 59,  0,   0.279,   0.798,   0.222,   0.085,   0.281,   0.078,  51.000,  51.000,  71.000,   0.000,   0.000,   21,   0.000
20:39:43:012, 38679022890820,    1.540,   15.000, 3700,   8.881,   9.471,   2.631,   7.472,   6.927,   1.924, 73,  0,   0.510,   0.853,   0.237,   0.080,   0.290,   0.081,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:39:43:120, 38679217849193,    1.649,   15.000, 3700,  14.906,  11.085,   3.079,  12.853,   8.319,   2.311, 63,  0,   0.431,   0.900,   0.250,   0.211,   0.313,   0.087,  51.000,  51.000,  71.000,   0.000,   0.000,  152,   0.000
20:39:43:231, 38679416726337,    1.759,    6.000, 3700,   4.533,  11.586,   3.218,   3.111,   8.663,   2.406, 60,  0,   0.214,   0.924,   0.257,   0.204,   0.336,   0.093,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:39:43:341, 38679615471607,    1.870,    2.000,  900,   2.403,  11.851,   3.292,   0.982,   8.771,   2.437, 59,  0,   0.160,   0.941,   0.261,   0.212,   0.359,   0.100,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.000
20:39:43:451, 38679813570312,    1.980,    3.000,  900,   2.517,  12.128,   3.369,   1.070,   8.889,   2.469, 59,  0,   0.169,   0.960,   0.267,   0.225,   0.384,   0.107,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
20:39:43:562, 38680013613519,    2.091,    9.000, 3700,   3.878,  12.559,   3.489,   2.409,   9.157,   2.544, 61,  0,   0.236,   0.986,   0.274,   0.227,   0.409,   0.114,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:39:43:663, 38680196474943,    2.192,   15.000, 3700,  16.327,  14.218,   3.949,  14.335,  10.613,   2.948, 65,  0,   0.827,   1.070,   0.297,   0.510,   0.461,   0.128,  51.000,  51.000,  71.000,   0.000,   0.000,   96,  19.072
20:39:43:782, 38680409461380,    2.311,   10.000,  800,   3.893,  14.678,   4.077,   2.310,  10.886,   3.024, 60,  0,   0.265,   1.101,   0.306,   0.218,   0.487,   0.135,  51.000,  51.000,  71.000,   0.000,   0.000,   15,   0.000
20:39:43:891, 38680605567340,    2.420,    9.000,  900,   2.995,  15.005,   4.168,   1.499,  11.050,   3.069, 60,  0,   0.256,   1.129,   0.314,   0.264,   0.515,   0.143,  51.000,  51.000,  71.000,   0.000,   0.000,   26,   0.339
20:39:44:001, 38680804137941,    2.530,    6.000, 3700,   3.213,  15.359,   4.266,   1.349,  11.199,   3.111, 60,  0,   0.204,   1.152,   0.320,   0.266,   0.545,   0.151,  51.000,  51.000,  71.000,   0.000,   0.000,   91,   0.000
20:39:44:110, 38681000524405,    2.639,   11.000, 3700,  11.802,  16.647,   4.624,  10.215,  12.313,   3.420, 62,  0,   0.270,   1.181,   0.328,   0.213,   0.568,   0.158,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:39:44:218, 38681194719636,    2.747,    3.000,  900,   2.473,  16.914,   4.698,   1.026,  12.424,   3.451, 59,  0,   0.167,   1.199,   0.333,   0.214,   0.591,   0.164,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.000
20:39:44:327, 38681391033392,    2.856,    2.000,  900,   2.305,  17.165,   4.768,   0.878,  12.520,   3.478, 59,  0,   0.154,   1.216,   0.338,   0.231,   0.616,   0.171,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.000
20:39:44:439, 38681591109158,    2.967,    4.000,  900,   2.291,  17.420,   4.839,   0.863,  12.615,   3.504, 58,  0,   0.154,   1.233,   0.343,   0.227,   0.641,   0.178,  51.000,  51.000,  71.000,   0.000,   0.000,   26,   0.000
