System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
20:17:44:747, 303640750640745,    0.109,   39.000, 3700,  26.159,   2.843,   0.790,  23.734,   2.579,   0.716, 69,  0,   1.059,   0.115,   0.032,   0.036,   0.004,   0.001,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   1.454
20:17:44:856, 303640946371155,    0.217,   51.000, 3700,  28.172,   5.906,   1.641,  25.854,   5.391,   1.497, 73,  0,   1.148,   0.240,   0.067,   0.012,   0.005,   0.001,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.585
20:17:44:979, 303641168443093,    0.341,   38.000, 3700,  25.548,   9.058,   2.516,  23.313,   8.267,   2.296, 68,  0,   0.976,   0.360,   0.100,   0.014,   0.007,   0.002,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.172
20:17:45:088, 303641364391137,    0.450,   31.000, 3700,  21.643,  11.414,   3.171,  19.218,  10.359,   2.877, 69,  0,   0.860,   0.454,   0.126,   0.201,   0.029,   0.008,  51.000,  51.000,  71.000,   0.000,   0.000,   58,  10.528
20:17:45:199, 303641564177530,    0.561,   20.000, 3700,  18.830,  13.504,   3.751,  16.447,  12.184,   3.385, 63,  0,   0.780,   0.540,   0.150,   0.224,   0.054,   0.015,  51.000,  51.000,  71.000,   0.000,   0.000,   65,  11.806
20:17:45:309, 303641762316967,    0.671,   32.000, 3700,  22.254,  15.954,   4.432,  20.176,  14.405,   4.001, 67,  0,   0.711,   0.619,   0.172,   0.005,   0.054,   0.015,  51.000,  51.000,  71.000,   0.000,   0.000,    1,   0.000
20:17:45:418, 303641959415400,    0.780,   22.000, 3700,  19.253,  18.062,   5.017,  17.185,  16.287,   4.524, 66,  0,   0.691,   0.694,   0.193,   0.014,   0.056,   0.016,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.227
20:17:45:528, 303642156874206,    0.890,   29.000, 3700,  21.165,  20.384,   5.662,  18.938,  18.364,   5.101, 70,  0,   0.836,   0.786,   0.218,   0.009,   0.057,   0.016,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.261
20:17:45:652, 303642379458922,    1.014,   31.000, 3700,  25.406,  23.525,   6.535,  23.043,  21.214,   5.893, 73,  0,   1.077,   0.919,   0.255,   0.009,   0.058,   0.016,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.125
20:17:45:777, 303642605671524,    1.139,   36.000, 3700,  19.546,  25.982,   7.217,  17.272,  23.384,   6.496, 65,  0,   0.803,   1.020,   0.283,   0.029,   0.062,   0.017,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   1.182
