System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
16:30:54:527, 13658953289553,    0.121,    7.000, 2300,   3.649,   0.442,   0.123,   2.274,   0.275,   0.076, 57,  0,   0.390,   0.047,   0.013,   0.017,   0.002,   0.001,  51.000,  51.000,  71.000,   0.000,   0.000,    9,   0.464
16:30:54:636, 13659150089493,    0.230,    8.000,  800,   1.849,   0.644,   0.179,   0.587,   0.339,   0.094, 56,  0,   0.332,   0.084,   0.023,   0.011,   0.003,   0.001,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.142
16:30:54:746, 13659348480851,    0.341,    8.000, 1500,   2.290,   0.896,   0.249,   1.044,   0.454,   0.126, 56,  0,   0.289,   0.115,   0.032,   0.010,   0.004,   0.001,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.121
16:30:54:855, 13659544951705,    0.450,    5.000,  800,   1.567,   1.067,   0.296,   0.333,   0.491,   0.136, 56,  0,   0.298,   0.148,   0.041,   0.008,   0.005,   0.001,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.000
16:30:54:965, 13659741779187,    0.559,    6.000,  800,   1.543,   1.236,   0.343,   0.310,   0.525,   0.146, 55,  0,   0.306,   0.181,   0.050,   0.007,   0.006,   0.002,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:30:55:074, 13659937961014,    0.668,   14.000, 3700,   4.234,   1.697,   0.471,   2.942,   0.845,   0.235, 59,  0,   0.372,   0.222,   0.062,   0.039,   0.010,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.840
16:30:55:185, 13660138347017,    0.779,    8.000,  800,   3.802,   2.121,   0.589,   2.294,   1.101,   0.306, 57,  0,   0.488,   0.276,   0.077,   0.015,   0.012,   0.003,  51.000,  51.000,  71.000,   0.000,   0.000,    6,   0.352
16:30:55:294, 13660334024371,    0.888,   13.000, 1600,   3.868,   2.541,   0.706,   2.318,   1.353,   0.376, 57,  0,   0.557,   0.337,   0.094,   0.065,   0.019,   0.005,  51.000,  51.000,  71.000,   0.000,   0.000,   30,   4.158
16:30:55:404, 13660531896842,    0.998,    8.000, 1000,   2.413,   2.806,   0.780,   1.085,   1.472,   0.409, 57,  0,   0.397,   0.380,   0.106,   0.011,   0.020,   0.006,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   0.000
16:30:55:514, 13660730904547,    1.109,    7.000, 3800,   2.518,   3.085,   0.857,   1.275,   1.613,   0.448, 57,  0,   0.328,   0.417,   0.116,   0.004,   0.021,   0.006,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:30:55:626, 13660931808224,    1.220,    6.000,  800,   2.556,   3.370,   0.936,   1.090,   1.735,   0.482, 56,  0,   0.351,   0.456,   0.127,   0.008,   0.022,   0.006,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
16:30:55:736, 13661129664587,    1.330,   16.000, 1200,   2.093,   3.600,   1.000,   0.793,   1.822,   0.506, 56,  0,   0.331,   0.492,   0.137,   0.006,   0.022,   0.006,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:30:55:846, 13661327030665,    1.440,    7.000, 1400,   4.994,   4.148,   1.152,   3.504,   2.206,   0.613, 57,  0,   0.522,   0.550,   0.153,   0.008,   0.023,   0.006,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:30:55:957, 13661527502882,    1.551,   12.000, 1100,   2.467,   4.422,   1.228,   1.072,   2.326,   0.646, 57,  0,   0.457,   0.600,   0.167,   0.009,   0.024,   0.007,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:30:56:080, 13661749617218,    1.675,   22.000, 3700,   3.904,   4.904,   1.362,   2.641,   2.651,   0.737, 60,  0,   0.414,   0.652,   0.181,   0.031,   0.028,   0.008,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.567
16:30:56:161, 13661895092183,    1.755,   10.000, 1900,   5.246,   5.328,   1.480,   3.623,   2.944,   0.818, 59,  0,   0.579,   0.698,   0.194,   0.017,   0.029,   0.008,  51.000,  51.000,  71.000,   0.000,   0.000,   35,   2.103
16:30:56:285, 13662118163815,    1.879,   13.000, 3700,  10.279,   6.602,   1.834,   8.618,   4.012,   1.115, 61,  0,   0.581,   0.770,   0.214,   0.007,   0.030,   0.008,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.000
16:30:56:395, 13662316518727,    1.989,    5.000,  800,   2.523,   6.880,   1.911,   1.277,   4.153,   1.154, 57,  0,   0.346,   0.809,   0.225,   0.003,   0.031,   0.008,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
16:30:56:502, 13662509502577,    2.097,    6.000,  800,   2.174,   7.113,   1.976,   0.927,   4.252,   1.181, 56,  0,   0.325,   0.843,   0.234,   0.007,   0.031,   0.009,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:30:56:611, 13662705213271,    2.205,    8.000, 1900,   3.988,   7.547,   2.096,   2.642,   4.540,   1.261, 57,  0,   0.401,   0.887,   0.246,   0.011,   0.032,   0.009,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:30:56:720, 13662901452204,    2.314,    5.000,  800,   1.668,   7.729,   2.147,   0.448,   4.589,   1.275, 56,  0,   0.311,   0.921,   0.256,   0.003,   0.033,   0.009,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:30:56:826, 13663093630015,    2.421,   35.000, 3700,  13.008,   9.117,   2.533,  11.280,   5.793,   1.609, 66,  0,   0.828,   1.009,   0.280,   0.267,   0.061,   0.017,  51.000,  51.000,  71.000,   0.000,   0.000,   37,   6.869
16:30:56:942, 13663300825154,    2.536,    3.000,  800,   3.624,   9.535,   2.649,   2.107,   6.035,   1.676, 58,  0,   0.411,   1.057,   0.294,   0.030,   0.065,   0.018,  51.000,  51.000,  71.000,   0.000,   0.000,   71,   9.029
16:30:57:058, 13663509358060,    2.652,   20.000, 3800,   4.019,  10.000,   2.778,   2.666,   6.344,   1.762, 62,  0,   0.395,   1.102,   0.306,   0.052,   0.071,   0.020,  51.000,  51.000,  71.000,   0.000,   0.000,    7,   1.035
16:30:57:147, 13663670487794,    2.742,    4.000,  800,   3.289,  10.295,   2.860,   1.872,   6.512,   1.809, 57,  0,   0.408,   1.139,   0.316,   0.011,   0.072,   0.020,  51.000,  51.000,  71.000,   0.000,   0.000,   33,   1.924
16:30:57:258, 13663869023367,    2.852,    7.000,  800,   1.865,  10.500,   2.917,   0.609,   6.579,   1.827, 56,  0,   0.308,   1.173,   0.326,   0.007,   0.072,   0.020,  51.000,  51.000,  71.000,   0.000,   0.000,    5,   0.000
16:30:57:365, 13664063006525,    2.960,   10.000,  800,   1.838,  10.698,   2.972,   0.566,   6.640,   1.844, 56,  0,   0.324,   1.208,   0.336,   0.005,   0.073,   0.020,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:30:57:475, 13664260217566,    3.069,    6.000,  800,   1.581,  10.872,   3.020,   0.350,   6.678,   1.855, 56,  0,   0.297,   1.240,   0.345,   0.007,   0.074,   0.020,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:30:57:583, 13664455265106,    3.178,    6.000, 3200,   2.922,  11.188,   3.108,   1.611,   6.853,   1.904, 57,  0,   0.337,   1.277,   0.355,   0.009,   0.075,   0.021,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:30:57:693, 13664653162725,    3.288,   17.000, 3700,  13.386,  12.660,   3.517,  11.892,   8.160,   2.267, 69,  0,   0.605,   1.343,   0.373,   0.061,   0.081,   0.023,  51.000,  51.000,  71.000,   0.000,   0.000,   10,   1.349
16:30:57:817, 13664875933722,    3.411,   15.000, 3700,  15.276,  14.551,   4.042,  13.927,   9.884,   2.746, 80,  0,   0.309,   1.382,   0.384,   0.043,   0.087,   0.024,  51.000,  51.000,  71.000,   0.000,   0.000,   20,   2.729
16:30:57:912, 13665046018870,    3.506,   14.000, 3700,  15.466,  16.012,   4.448,  14.289,  11.234,   3.121, 81,  0,   0.189,   1.400,   0.389,   0.007,   0.087,   0.024,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.000
16:30:58:051, 13665297399245,    3.646,   26.000, 3800,  15.168,  18.130,   5.036,  13.876,  13.172,   3.659, 80,  0,   0.201,   1.428,   0.397,   0.024,   0.091,   0.025,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.495
16:30:58:130, 13665439402388,    3.724,   12.000, 3700,  14.650,  19.286,   5.357,  13.373,  14.227,   3.952, 80,  0,   0.204,   1.444,   0.401,   0.021,   0.092,   0.026,  51.000,  51.000,  71.000,   0.000,   0.000,   37,   2.595
16:30:58:240, 13665636284649,    3.834,   17.000, 3700,  16.399,  21.080,   5.856,  15.108,  15.880,   4.411, 81,  0,   0.189,   1.464,   0.407,   0.008,   0.093,   0.026,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.000
16:30:58:364, 13665859860725,    3.958,   12.000, 3700,  14.276,  22.853,   6.348,  12.858,  17.477,   4.855, 80,  0,   0.170,   1.485,   0.413,   0.009,   0.094,   0.026,  51.000,  51.000,  71.000,   0.000,   0.000,    3,   0.000
16:30:58:472, 13666054925862,    4.066,   16.000, 3700,  16.185,  24.607,   6.835,  14.957,  19.098,   5.305, 78,  0,   0.255,   1.513,   0.420,   0.011,   0.095,   0.026,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
16:30:58:582, 13666252223503,    4.176,   16.000, 3700,  16.026,  26.364,   7.323,  14.481,  20.685,   5.746, 85,  0,   0.259,   1.542,   0.428,   0.006,   0.096,   0.027,  51.000,  51.000,  71.000,   0.000,   0.000,    2,   0.000
