System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),GT Power_0(Watt),Cumulative GT Energy_0(Joules),Cumulative GT Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt),GT Frequency(MHz),GT Utilization(%)
13:31:40:517, 357243528536955,    0.120,   15.000,  800,   6.375,   0.766,   0.213,   4.303,   0.517,   0.144, 57,  0,   0.717,   0.086,   0.024,   0.208,   0.025,   0.007,  51.000,  51.000,  71.000,   0.000,   0.000,   62,   8.772
13:31:40:626, 357243723637715,    0.229,   14.000, 3700,   7.169,   1.543,   0.429,   5.383,   1.100,   0.306, 58,  0,   0.629,   0.154,   0.043,   0.244,   0.051,   0.014,  51.000,  51.000,  71.000,   0.000,   0.000,   57,   9.956
13:31:40:736, 357243921433287,    0.338,   10.000, 3100,   6.256,   2.230,   0.620,   4.434,   1.588,   0.441, 58,  0,   0.685,   0.230,   0.064,   0.260,   0.080,   0.022,  51.000,  51.000,  71.000,   0.000,   0.000,   52,   9.520
13:31:40:844, 357244115737715,    0.446,   10.000, 1600,   4.995,   2.770,   0.769,   3.141,   1.927,   0.535, 57,  0,   0.515,   0.285,   0.079,   0.348,   0.118,   0.033,  51.000,  51.000,  71.000,   0.000,   0.000,   51,   8.963
13:31:40:954, 357244314148298,    0.557,   13.000, 1600,   3.550,   3.161,   0.878,   1.671,   2.111,   0.586, 57,  0,   0.548,   0.346,   0.096,   0.364,   0.158,   0.044,  51.000,  51.000,  71.000,   0.000,   0.000,   55,   9.689
13:31:41:063, 357244510738578,    0.666,    3.000,  900,   3.522,   3.546,   0.985,   1.953,   2.324,   0.646, 56,  0,   0.302,   0.378,   0.105,   0.252,   0.185,   0.051,  51.000,  51.000,  71.000,   0.000,   0.000,   25,   3.154
13:31:41:172, 357244706978713,    0.775,    3.000,  900,   2.615,   3.831,   1.064,   1.205,   2.455,   0.682, 56,  0,   0.160,   0.396,   0.110,   0.213,   0.208,   0.058,  51.000,  51.000,  71.000,   0.000,   0.000,    8,   0.000
13:31:41:283, 357244907024769,    0.886,    6.000,  900,   2.622,   4.122,   1.145,   1.208,   2.590,   0.719, 55,  0,   0.171,   0.415,   0.115,   0.210,   0.232,   0.064,  51.000,  51.000,  71.000,   0.000,   0.000,   23,   0.000
13:31:41:393, 357245103528247,    0.995,    2.000, 2800,   2.769,   4.424,   1.229,   1.299,   2.731,   0.759, 56,  0,   0.175,   0.434,   0.121,   0.255,   0.260,   0.072,  51.000,  51.000,  71.000,   0.000,   0.000,   92,   0.000
13:31:41:502, 357245299957762,    1.104,    4.000,  800,   2.004,   4.643,   1.290,   0.612,   2.798,   0.777, 55,  0,   0.168,   0.452,   0.126,   0.196,   0.281,   0.078,  51.000,  51.000,  71.000,   0.000,   0.000,    4,   0.000
